STATIONS_ID,MESS_DATUM,QN_9,TT_TU,RF_TU,eor
       4349,2004060100,    3,   9.4,  85.0,eor
       4349,2004060101,   10,   8.4,  89.0,eor
       4349,2004060102,   10,   7.9,  91.0,eor
       4349,2004060103,   10,   6.7,  91.0,eor
       4349,2004060104,   10,   6.6,  93.0,eor
       4349,2004060105,   10,   8.8,  89.0,eor
       4349,2004060106,   10,  11.2,  80.0,eor
       4349,2004060107,   10,  14.5,  71.0,eor
       4349,2004060108,   10,  16.3,  63.0,eor
       4349,2004060109,   10,  17.9,  54.0,eor
       4349,2004060110,   10,  19.1,  44.0,eor
       4349,2004060111,   10,  19.8,  51.0,eor
       4349,2004060112,   10,  15.6,  67.0,eor
       4349,2004060113,   10,  16.4,  72.0,eor
       4349,2004060114,   10,  16.3,  66.0,eor
       4349,2004060115,   10,  14.6,  76.0,eor
       4349,2004060116,   10,  14.3,  81.0,eor
       4349,2004060117,   10,  14.5,  79.0,eor
       4349,2004060118,   10,  14.2,  85.0,eor
       4349,2004060119,   10,  13.9,  85.0,eor
       4349,2004060120,   10,  13.5,  91.0,eor
       4349,2004060121,   10,  11.6,  90.0,eor
       4349,2004060122,   10,  10.8,  94.0,eor
       4349,2004060123,   10,  10.1,  95.0,eor
       4349,2004060200,   10,   9.2,  95.0,eor
       4349,2004060201,   10,   9.1,  97.0,eor
       4349,2004060202,   10,   7.1,  96.0,eor
       4349,2004060203,   10,   7.8,  97.0,eor
       4349,2004060204,   10,   6.3,  96.0,eor
       4349,2004060205,   10,   8.0,  97.0,eor
       4349,2004060206,   10,  10.7,  94.0,eor
       4349,2004060207,   10,  14.1,  80.0,eor
       4349,2004060208,   10,  16.2,  74.0,eor
       4349,2004060209,   10,  17.7,  69.0,eor
       4349,2004060210,   10,  18.4,  61.0,eor
       4349,2004060211,   10,  19.5,  51.0,eor
       4349,2004060212,   10,  17.2,  57.0,eor
       4349,2004060213,   10,  18.8,  58.0,eor
       4349,2004060214,   10,  19.5,  52.0,eor
       4349,2004060215,   10,  14.1,  72.0,eor
       4349,2004060216,   10,  15.1,  80.0,eor
       4349,2004060217,   10,  17.3,  67.0,eor
       4349,2004060218,   10,  16.4,  69.0,eor
       4349,2004060219,   10,  16.0,  73.0,eor
       4349,2004060220,   10,  15.3,  74.0,eor
       4349,2004060221,   10,  14.5,  83.0,eor
       4349,2004060222,   10,  14.0,  89.0,eor
       4349,2004060223,   10,  13.9,  89.0,eor
       4349,2004060300,   10,  13.7,  90.0,eor
       4349,2004060301,   10,  13.5,  89.0,eor
       4349,2004060302,   10,  13.1,  89.0,eor
       4349,2004060303,   10,  13.2,  89.0,eor
       4349,2004060304,   10,  13.2,  89.0,eor
       4349,2004060305,   10,  13.7,  86.0,eor
       4349,2004060306,   10,  13.9,  84.0,eor
       4349,2004060307,   10,  14.1,  81.0,eor
       4349,2004060308,   10,  14.6,  78.0,eor
       4349,2004060309,   10,  16.1,  70.0,eor
       4349,2004060310,   10,  17.0,  66.0,eor
       4349,2004060311,   10,  17.4,  66.0,eor
       4349,2004060312,   10,  18.1,  66.0,eor
       4349,2004060313,   10,  18.0,  64.0,eor
       4349,2004060314,   10,  17.3,  72.0,eor
       4349,2004060315,   10,  18.1,  69.0,eor
       4349,2004060316,   10,  18.1,  66.0,eor
       4349,2004060317,   10,  18.4,  64.0,eor
       4349,2004060318,   10,  17.6,  69.0,eor
       4349,2004060319,   10,  16.8,  72.0,eor
       4349,2004060320,   10,  16.0,  78.0,eor
       4349,2004060321,   10,  15.6,  80.0,eor
       4349,2004060322,   10,  13.4,  88.0,eor
       4349,2004060323,   10,  13.1,  91.0,eor
       4349,2004060400,   10,  13.4,  90.0,eor
       4349,2004060401,   10,  12.7,  91.0,eor
       4349,2004060402,   10,  12.2,  92.0,eor
       4349,2004060403,   10,  11.7,  92.0,eor
       4349,2004060404,   10,  10.7,  92.0,eor
       4349,2004060405,   10,  12.0,  94.0,eor
       4349,2004060406,   10,  13.4,  89.0,eor
       4349,2004060407,   10,  14.9,  79.0,eor
       4349,2004060408,   10,  16.4,  76.0,eor
       4349,2004060409,   10,  18.1,  69.0,eor
       4349,2004060410,   10,  18.4,  66.0,eor
       4349,2004060411,   10,  19.1,  61.0,eor
       4349,2004060412,   10,  18.7,  62.0,eor
       4349,2004060413,   10,  18.5,  62.0,eor
